order_id,order_item_id,order_date,shipping_date,shipping_mode,order_status,delivery_status,late_delivery_risk,days_for_shipping_real,days_for_shipment_scheduled,order_item_quantity,order_item_discount_rate,order_item_product_price,order_item_profit_ratio,sales,benefit_per_order,sales_per_customer,order_region,order_country,market,payment_type,customer_segment,customer_country,latitude,longitude,category_name,department_name,product_price,shipping_delay_days,order_hour,order_day_of_week,order_month,order_year,is_weekend_order,revenue_per_unit,has_discount,is_profitable,scheduled_days_bin,market_risk_score,region_risk_score,mode_risk_score
98082,1,2023-02-13 14:16:00,2023-02-23 14:16:00,Standard Class,PENDING_PAYMENT,Shipping on time,0,10,7,4,0.195,147406.86,0.2733,474650.09,129721.87,1087386.36,Northern Areas,Rawalpindi,Federal,CASH,Consumer,Rawalpindi,69.4689,-109.1781,Laptops,Electronics,147406.86,3,14,0,2,2023,0,118662.52,1,1,5-10_days,0.7340503544365681,0.7303862035462716,0.7366829702089818
66202,2,2021-06-26 01:25:00,2021-06-30 01:25:00,First Class,PENDING,Late delivery,1,4,3,4,0.16,17248.28,-0.0168,57954.22,-973.63,74904.95,Rural Sindh,Mirpur Khas,Sindh,DEBIT,Home Office,Mirpur Khas,-17.3695,-35.7,Laptops,Electronics,17248.28,1,1,5,6,2021,1,14488.56,1,0,1-3_days,0.5224103055466837,0.5220072294280247,0.5351926799225761
37887,3,2022-10-12 06:29:00,2022-10-19 06:29:00,Second Class,COMPLETE,Late delivery,1,7,5,1,0.338,44802.13,0.0533,29659.01,1580.83,68037.32,South KPK,Mardan,KPK,DEBIT,Home Office,Mardan,-9.2247,10.9357,Outdoor Sports,Sports,44802.13,2,6,2,10,2022,0,29659.01,1,1,3-5_days,0.5953805774278215,0.5967233774417139,0.6605610122997965
10359,4,2021-10-29 08:15:00,2021-11-03 08:15:00,First Class,PENDING_PAYMENT,Shipping on time,0,5,3,4,0.191,26989.36,0.0487,87337.57,4253.34,113332.13,South KPK,Kohat,KPK,CASH,Consumer,Kohat,42.2136,-122.6266,Vitamins,Health,26989.36,2,8,4,10,2021,0,21834.39,1,1,1-3_days,0.5953805774278215,0.5967233774417139,0.5351926799225761
87265,5,2023-07-05 11:25:00,2023-07-07 11:25:00,Same Day,CLOSED,Late delivery,1,2,1,2,0.345,140170.78,0.395,183623.72,72531.37,190464.62,Capital Territory,Gilgit,Federal,DEBIT,Corporate,Gilgit,-3.8475,-126.6229,Personal Care,Health,140170.78,1,11,2,7,2023,0,91811.86,1,1,same_day,0.7340503544365681,0.7377613776137761,0.4316920322291853
30224,6,2023-10-14 03:09:00,2023-10-23 03:09:00,Second Class,COMPLETE,Shipping on time,0,9,4,4,0.347,74725.28,0.444,195182.43,86661.0,439058.86,North KPK,Swat,KPK,DEBIT,Consumer,Swat,5.4915,149.7978,Personal Care,Health,74725.28,5,3,5,10,2023,1,48795.61,1,1,3-5_days,0.5953805774278215,0.5940386230058774,0.6605610122997965
60903,7,2022-12-16 18:07:00,2022-12-21 18:07:00,First Class,COMPLETE,Shipping on time,0,5,3,2,0.247,175542.69,-0.0001,264367.29,-26.44,382570.58,Urban Sindh,Hyderabad,Sindh,DEBIT,Corporate,Hyderabad,-6.9612,-99.1078,Laptops,Electronics,175542.69,2,18,4,12,2022,0,132183.64,1,0,1-3_days,0.5224103055466837,0.522814498933902,0.5351926799225761
45214,8,2024-08-31 19:02:00,2024-09-06 19:02:00,First Class,PENDING,Late delivery,1,6,3,2,0.011,11365.0,0.396,22479.97,8902.07,20780.42,North KPK,Mardan,KPK,TRANSFER,Consumer,Mardan,-28.4936,105.8167,Laptops,Electronics,11365.0,3,19,5,8,2024,1,11239.98,1,1,1-3_days,0.5953805774278215,0.5940386230058774,0.5351926799225761
68170,9,2023-06-08 23:59:00,2023-06-11 23:59:00,First Class,COMPLETE,Late delivery,1,3,2,5,0.312,106207.72,0.2311,365354.56,84433.44,829998.92,South Balochistan,Chaman,Balochistan,CASH,Corporate,Chaman,4.3263,146.2105,Personal Care,Health,106207.72,1,23,3,6,2023,0,73070.91,1,1,1-3_days,0.6475729301995985,0.6395294117647059,0.5351926799225761
16669,10,2022-07-12 12:06:00,2022-07-13 12:06:00,Same Day,CLOSED,Late delivery,1,1,0,2,0.087,94317.02,0.1448,172222.88,24937.87,367297.66,North KPK,Kohat,KPK,DEBIT,Home Office,Kohat,8.0541,-146.7647,Women's Fashion,Clothing,94317.02,1,12,1,7,2022,0,86111.44,1,1,same_day,0.5953805774278215,0.5940386230058774,0.4316920322291853
