shipping_mode,order_region,market,category_name,department_name,customer_segment,payment_type,days_for_shipment_scheduled,order_item_quantity,order_item_discount_rate,order_item_product_price,sales,revenue_per_unit,is_weekend_order,has_discount,order_hour,order_month,market_risk_score,region_risk_score,mode_risk_score,order_id,order_date,shipping_date,order_country,delivery_status,benefit_per_order,order_item_profit_ratio,shipping_delay_days,days_for_shipping_real,order_year,order_month.1,order_day_of_week,is_profitable,latitude,longitude
Standard Class,Northern Areas,Federal,Laptops,Electronics,Consumer,CASH,7,4,0.195,147406.86,474650.09,118662.52,0,1,14,2,0.7340503544365681,0.7303862035462716,0.7366829702089818,98082,2023-02-13 14:16:00,2023-02-23 14:16:00,Rawalpindi,Shipping on time,129721.87,0.2733,3,10,2023,2,0,1,69.4689,-109.1781
First Class,Rural Sindh,Sindh,Laptops,Electronics,Home Office,DEBIT,3,4,0.16,17248.28,57954.22,14488.56,1,1,1,6,0.5224103055466837,0.5220072294280247,0.5351926799225761,66202,2021-06-26 01:25:00,2021-06-30 01:25:00,Mirpur Khas,Late delivery,-973.63,-0.0168,1,4,2021,6,5,0,-17.3695,-35.7
Second Class,South KPK,KPK,Outdoor Sports,Sports,Home Office,DEBIT,5,1,0.338,44802.13,29659.01,29659.01,0,1,6,10,0.5953805774278215,0.5967233774417139,0.6605610122997965,37887,2022-10-12 06:29:00,2022-10-19 06:29:00,Mardan,Late delivery,1580.83,0.0533,2,7,2022,10,2,1,-9.2247,10.9357
First Class,South KPK,KPK,Vitamins,Health,Consumer,CASH,3,4,0.191,26989.36,87337.57,21834.39,0,1,8,10,0.5953805774278215,0.5967233774417139,0.5351926799225761,10359,2021-10-29 08:15:00,2021-11-03 08:15:00,Kohat,Shipping on time,4253.34,0.0487,2,5,2021,10,4,1,42.2136,-122.6266
Same Day,Capital Territory,Federal,Personal Care,Health,Corporate,DEBIT,1,2,0.345,140170.78,183623.72,91811.86,0,1,11,7,0.7340503544365681,0.7377613776137761,0.4316920322291853,87265,2023-07-05 11:25:00,2023-07-07 11:25:00,Gilgit,Late delivery,72531.37,0.395,1,2,2023,7,2,1,-3.8475,-126.6229
Second Class,North KPK,KPK,Personal Care,Health,Consumer,DEBIT,4,4,0.347,74725.28,195182.43,48795.61,1,1,3,10,0.5953805774278215,0.5940386230058774,0.6605610122997965,30224,2023-10-14 03:09:00,2023-10-23 03:09:00,Swat,Shipping on time,86661.0,0.444,5,9,2023,10,5,1,5.4915,149.7978
First Class,Urban Sindh,Sindh,Laptops,Electronics,Corporate,DEBIT,3,2,0.247,175542.69,264367.29,132183.64,0,1,18,12,0.5224103055466837,0.522814498933902,0.5351926799225761,60903,2022-12-16 18:07:00,2022-12-21 18:07:00,Hyderabad,Shipping on time,-26.44,-0.0001,2,5,2022,12,4,0,-6.9612,-99.1078
First Class,North KPK,KPK,Laptops,Electronics,Consumer,TRANSFER,3,2,0.011,11365.0,22479.97,11239.98,1,1,19,8,0.5953805774278215,0.5940386230058774,0.5351926799225761,45214,2024-08-31 19:02:00,2024-09-06 19:02:00,Mardan,Late delivery,8902.07,0.396,3,6,2024,8,5,1,-28.4936,105.8167
First Class,South Balochistan,Balochistan,Personal Care,Health,Corporate,CASH,2,5,0.312,106207.72,365354.56,73070.91,0,1,23,6,0.6475729301995985,0.6395294117647059,0.5351926799225761,68170,2023-06-08 23:59:00,2023-06-11 23:59:00,Chaman,Late delivery,84433.44,0.2311,1,3,2023,6,3,1,4.3263,146.2105
Same Day,North KPK,KPK,Women's Fashion,Clothing,Home Office,DEBIT,0,2,0.087,94317.02,172222.88,86111.44,0,1,12,7,0.5953805774278215,0.5940386230058774,0.4316920322291853,16669,2022-07-12 12:06:00,2022-07-13 12:06:00,Kohat,Late delivery,24937.87,0.1448,1,1,2022,7,1,1,8.0541,-146.7647
