shipping_mode,order_region,market,category_name,department_name,customer_segment,payment_type,days_for_shipment_scheduled,order_item_quantity,order_item_discount_rate,order_item_product_price,sales,revenue_per_unit,is_weekend_order,has_discount,order_hour,order_month,market_risk_score,region_risk_score,mode_risk_score,late_delivery_risk
Standard Class,Northern Areas,Federal,Laptops,Electronics,Consumer,CASH,7,4,0.195,147406.86,474650.09,118662.52,0,1,14,2,0.7340503544365681,0.7303862035462716,0.7366829702089818,0
First Class,Rural Sindh,Sindh,Laptops,Electronics,Home Office,DEBIT,3,4,0.16,17248.28,57954.22,14488.56,1,1,1,6,0.5224103055466837,0.5220072294280247,0.5351926799225761,1
Second Class,South KPK,KPK,Outdoor Sports,Sports,Home Office,DEBIT,5,1,0.338,44802.13,29659.01,29659.01,0,1,6,10,0.5953805774278215,0.5967233774417139,0.6605610122997965,1
First Class,South KPK,KPK,Vitamins,Health,Consumer,CASH,3,4,0.191,26989.36,87337.57,21834.39,0,1,8,10,0.5953805774278215,0.5967233774417139,0.5351926799225761,0
Same Day,Capital Territory,Federal,Personal Care,Health,Corporate,DEBIT,1,2,0.345,140170.78,183623.72,91811.86,0,1,11,7,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
Second Class,North KPK,KPK,Personal Care,Health,Consumer,DEBIT,4,4,0.347,74725.28,195182.43,48795.61,1,1,3,10,0.5953805774278215,0.5940386230058774,0.6605610122997965,0
First Class,Urban Sindh,Sindh,Laptops,Electronics,Corporate,DEBIT,3,2,0.247,175542.69,264367.29,132183.64,0,1,18,12,0.5224103055466837,0.522814498933902,0.5351926799225761,0
First Class,North KPK,KPK,Laptops,Electronics,Consumer,TRANSFER,3,2,0.011,11365.0,22479.97,11239.98,1,1,19,8,0.5953805774278215,0.5940386230058774,0.5351926799225761,1
First Class,South Balochistan,Balochistan,Personal Care,Health,Corporate,CASH,2,5,0.312,106207.72,365354.56,73070.91,0,1,23,6,0.6475729301995985,0.6395294117647059,0.5351926799225761,1
Same Day,North KPK,KPK,Women's Fashion,Clothing,Home Office,DEBIT,0,2,0.087,94317.02,172222.88,86111.44,0,1,12,7,0.5953805774278215,0.5940386230058774,0.4316920322291853,1
First Class,Rural Sindh,Sindh,Furniture,Home & Garden,Corporate,DEBIT,3,4,0.083,90348.94,331399.91,82849.98,0,1,21,6,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
Same Day,Northern Areas,Federal,Garden Tools,Home & Garden,Corporate,CASH,1,4,0.15,212438.48,722290.83,180572.71,0,1,8,10,0.7340503544365681,0.7303862035462716,0.4316920322291853,0
