machine_id,timestamp,temperature,vibration,pressure,rpm,current,failure_in_24h
1,2024-01-01 00:00:00,60.75,0.4788,101.64,1498.6,10.104,0
1,2024-01-01 01:00:00,59.82,0.478,102.39,1499.9,10.088,0
1,2024-01-01 02:00:00,61.02,0.4116,101.81,1501.0,9.725,0
1,2024-01-01 03:00:00,62.36,0.4855,103.22,1510.1,10.182,0
1,2024-01-01 04:00:00,59.75,0.5393,105.39,1493.3,9.564,0
1,2024-01-01 05:00:00,59.77,0.4396,101.46,1492.5,9.818,0
1,2024-01-01 06:00:00,62.52,0.5564,105.0,1513.6,9.417,0
1,2024-01-01 07:00:00,61.33,0.5291,101.44,1496.8,10.487,0
1,2024-01-01 08:00:00,59.5,0.4686,101.3,1489.0,9.953,0
1,2024-01-01 09:00:00,61.04,0.4989,104.64,1496.9,10.675,0
1,2024-01-01 10:00:00,59.55,0.5866,104.84,1498.7,10.269,0
1,2024-01-01 11:00:00,59.58,0.544,104.7,1517.7,10.165,0
1,2024-01-01 12:00:00,60.66,0.5084,100.37,1511.6,9.857,0
1,2024-01-01 13:00:00,57.45,0.4968,102.07,1514.1,9.722,0
1,2024-01-01 14:00:00,57.76,0.5132,104.64,1511.0,10.196,0
1,2024-01-01 15:00:00,59.53,0.4844,103.08,1512.5,10.02,0
1,2024-01-01 16:00:00,58.88,0.4054,100.85,1496.3,9.643,0
1,2024-01-01 17:00:00,60.9,0.6134,103.91,1501.4,9.592,0
1,2024-01-01 18:00:00,59.09,0.5197,101.56,1493.7,9.762,0
1,2024-01-01 19:00:00,58.36,0.5325,106.58,1501.7,10.599,0
1,2024-01-01 20:00:00,62.7,0.5104,106.08,1510.8,10.719,0
1,2024-01-01 21:00:00,60.19,0.4772,104.2,1505.5,10.12,0
1,2024-01-01 22:00:00,60.65,0.5053,105.71,1517.5,10.106,0
1,2024-01-01 23:00:00,58.44,0.4353,103.12,1493.2,9.963,0
1,2024-01-02 00:00:00,59.78,0.6298,104.52,1509.8,9.786,0
1,2024-01-02 01:00:00,60.79,0.4549,105.95,1492.5,10.482,0
1,2024-01-02 02:00:00,58.92,0.4656,103.48,1506.1,10.634,0
1,2024-01-02 03:00:00,61.24,0.4959,102.48,1512.8,9.807,0
1,2024-01-02 04:00:00,59.8,0.583,99.58,1503.4,10.053,0
1,2024-01-02 05:00:00,60.28,0.5199,102.82,1511.3,9.945,0
1,2024-01-02 06:00:00,59.84,0.4581,104.63,1496.4,9.957,0
1,2024-01-02 07:00:00,63.55,0.5832,104.88,1489.5,10.441,0
1,2024-01-02 08:00:00,60.78,0.5577,103.99,1512.0,9.695,0
1,2024-01-02 09:00:00,59.23,0.5487,101.9,1524.0,10.231,0
1,2024-01-02 10:00:00,62.08,0.5583,99.03,1496.8,10.312,0
1,2024-01-02 11:00:00,59.04,0.6428,101.99,1519.2,10.054,0
1,2024-01-02 12:00:00,61.21,0.633,102.37,1507.6,10.367,0
1,2024-01-02 13:00:00,57.98,0.4901,102.35,1494.0,10.146,0
1,2024-01-02 14:00:00,58.95,0.6063,104.21,1496.3,10.47,0
1,2024-01-02 15:00:00,61.26,0.5449,106.95,1507.9,9.651,0
1,2024-01-02 16:00:00,62.1,0.5513,103.22,1503.9,10.006,0
1,2024-01-02 17:00:00,61.27,0.4424,102.54,1495.0,10.091,0
1,2024-01-02 18:00:00,60.87,0.5191,102.45,1491.4,9.314,0
1,2024-01-02 19:00:00,60.62,0.4876,103.22,1500.1,9.793,0
1,2024-01-02 20:00:00,58.87,0.5703,101.31,1510.7,9.877,0
1,2024-01-02 21:00:00,60.04,0.5831,103.21,1508.9,10.408,0
1,2024-01-02 22:00:00,60.45,0.4265,103.87,1504.1,9.914,0
1,2024-01-02 23:00:00,62.75,0.5297,103.38,1511.4,9.884,0
1,2024-01-03 00:00:00,61.7,0.5875,103.88,1519.9,10.377,0
1,2024-01-03 01:00:00,58.57,0.5228,103.83,1513.7,9.649,0
1,2024-01-03 02:00:00,61.72,0.5692,99.41,1508.7,9.516,0
1,2024-01-03 03:00:00,60.68,0.5509,104.23,1519.4,10.031,0
1,2024-01-03 04:00:00,60.27,0.5511,101.61,1500.7,9.708,0
1,2024-01-03 05:00:00,62.23,0.521,100.76,1508.3,9.722,0
1,2024-01-03 06:00:00,62.88,0.4744,100.74,1508.7,10.32,0
1,2024-01-03 07:00:00,62.75,0.4798,103.82,1498.5,10.413,0
1,2024-01-03 08:00:00,60.12,0.5719,102.5,1506.9,10.39,0
1,2024-01-03 09:00:00,60.94,0.5381,99.58,1490.6,10.488,0
1,2024-01-03 10:00:00,61.93,0.5308,103.9,1530.6,10.531,0
1,2024-01-03 11:00:00,62.92,0.5171,100.06,1502.3,9.522,0
1,2024-01-03 12:00:00,60.76,0.5237,103.22,1527.7,10.299,0
1,2024-01-03 13:00:00,61.22,0.5919,103.42,1512.5,10.007,0
1,2024-01-03 14:00:00,59.87,0.5234,104.71,1517.9,9.945,0
1,2024-01-03 15:00:00,59.75,0.4737,106.5,1507.6,10.34,0
1,2024-01-03 16:00:00,62.79,0.5786,100.2,1514.7,9.655,0
1,2024-01-03 17:00:00,63.63,0.5317,102.82,1519.4,9.651,0
1,2024-01-03 18:00:00,61.51,0.5442,102.38,1519.7,10.369,0
1,2024-01-03 19:00:00,63.15,0.6236,103.79,1521.0,10.328,0
1,2024-01-03 20:00:00,62.21,0.5428,103.35,1509.7,10.225,0
1,2024-01-03 21:00:00,60.72,0.5589,102.22,1508.8,9.923,0
1,2024-01-03 22:00:00,62.26,0.486,102.04,1497.9,10.413,0
1,2024-01-03 23:00:00,64.05,0.5346,100.68,1519.2,10.396,0
1,2024-01-04 00:00:00,61.71,0.5767,104.89,1525.0,10.22,0
1,2024-01-04 01:00:00,64.13,0.469,103.83,1530.6,9.844,0
1,2024-01-04 02:00:00,57.88,0.5574,104.74,1517.6,10.072,0
